"Property ID","CKAN API property name","Schema Name English","Schema Name French","Requirement","Occurrences","Reference","Value Type","FGP XPATH","RegEx Filter"
"01","type","Catalogue Type","Type de catalogue","M","S","CL 1.3.1","CKAN defined/provided","",""
"02","collection","Collection Type","Type de collection","O","S","CL 1.3.2","CKAN defined/provided","",""
"03","generated-3","Metadata Scheme ","Métadonnées schéma anglais","M","S","CL 1.3.3","CKAN defined/provided","",""
"04","generated-4","Metadata Scheme Version","Métadonnées schéma version","M","S","Free text","CKAN defined/provided","",""
"05","id","Metadata Record Identifier","Identifiant l'enregistrement de métadonnées","M","S","Free text","value","gmd:fileIdentifier/gco:CharacterString",""
"06","metadata_contact","Metadata Contact (English)","Contact métadonnée (anglais)","M","S","Free text","CKAN defined/provided","",""
"06a","metadata_contact-en-OrganizationName","Metadata Contact (English) — OrganizationName","Contact métadonnée (anglais) — OrganizationName","O","R","Free text","value","gmd:contact/gmd:CI_ResponsibleParty/gmd:organisationName/gco:CharacterString",""
"06b","metadata_contact-en-voice","Metadata Contact (English) — Voice","Contact métadonnée (anglais) — Voice","O","R","Free text","value","gmd:contact/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:phone/gmd:CI_Telephone/gmd:voice/gco:CharacterString",""
"06c","metadata_contact-en-electronicMailAddress","Metadata Contact (English) — ElectronicMailAddress","Contact métadonnée (anglais) — ElectronicMailAddress","O","R","Free text","value","gmd:contact/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/gmd:CI_Address/gmd:electronicMailAddress/gco:CharacterString",""
"07","metadata_contact-fr","Metadata Contact (French)","Contact métadonnée (français)","M","S","Free text","CKAN defined/provided","",""
"07a","metadata_contact-fr-organizationName","Metadata Contact (French) — OrganizationName","Contact métadonnée (français) — OrganizationName","O","R","Free text","value","gmd:contact/gmd:CI_ResponsibleParty/gmd:organisationName/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString",""
"07b","metadata_contact-fr-voice","Metadata Contact (French) — Voice","Contact métadonnée (français) — Voice","O","R","Free text","value","gmd:contact/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:phone/gmd:CI_Telephone/gmd:voice/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString",""
"07c","metadata_contact-fr-electronicMailAddress","Metadata Contact (French) — ElectronicMailAddress","Contact métadonnée (français) — ElectronicMailAddress","O","R","Free text","value","gmd:contact/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/gmd:CI_Address/gmd:electronicMailAddress/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString",""
"08","source_metadata_date_created","Source Metadata Record Date Stamp","Timbre dateur de l'nregistrement source du Métadonnée","M","S","YYYY-MM-DD","CKAN defined/provided","",""
"08a","source_metadata_date_created-primary","Source Metadata Record Date Stamp","Timbre dateur de l'nregistrement source du Métadonnée","M","S","YYYY-MM-DD","value","gmd:dateStamp/gco:Date",""
"08b","source_metadata_date_created-alt","Source Metadata Record Date Stamp","Timbre dateur de l'nregistrement source du Métadonnée","M","S","YYYY-MM-DD","value","gmd:dateStamp/gco:DateTime",""
"09","locale","Locale","Lieu","M","S","Free text","attribute","gmd:locale/gmd:PT_Locale/gmd:languageCode/gmd:LanguageCode",""
"10","parent_id","Parent identifier","Identifiant parent","O","S","Free text","value","gmd:parentIdentifier/gco:CharacterString",""
"11","hierarchy_level","Hierarchy level","Portée hiérarchique","O","S","Free text","value","gmd:hierarchyLevel/gmd:MD_ScopeCode",""
"12","file_id","File Identifier","Identifiant métadonnées","M","S","Free text","value","gmd:language/gco:CharacterString",""
"13","short_key","Short Key","Identifiant court","M","S","Free text","CKAN defined/provided","",""
"14","title_translated","Title (English)","Titre (anglais)","M","S","Free text","value","gmd:identificationInfo/gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:title/gco:CharacterString",""
"15","title_translated.fr","Title (French)","Titre (français)","M","S","Free text","value","gmd:identificationInfo/gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:title/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString",""
"16","owner_org","Publisher - Current Organization Name","Éditeur - organisation titre actuel","M","S","CL 1.3.4","CKAN defined/provided","",""
"16a","owner_org-primary","Publisher - Current Organization Name","Éditeur - organisation titre actuel","M","R","CL 1.3.4","value","gmd:identificationInfo/gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:citedResponsibleParty/gmd:CI_ResponsibleParty/gmd:organisationName/gco:CharacterString",""
